network_seed,scenario,mean_distance_realized_cost,mean_free_flow_realized_cost,mean_ml_realized_cost,mean_expected_oracle_route_realized_cost,mean_ml_improvement_vs_distance_percent,mean_ml_improvement_vs_free_flow_percent,mean_draw_level_ml_improvement_vs_free_flow_percent,distance_realized_std,free_flow_realized_std,ml_realized_std,distance_p90_realized_cost,free_flow_p90_realized_cost,ml_p90_realized_cost,expected_oracle_route_p90_realized_cost,ml_p90_improvement_vs_free_flow_percent,probability_ml_beats_free_flow,probability_ml_beats_distance,decision_scenario_index,realization_count,win_probability,tie_probability,loss_probability,mean_savings_minutes,median_savings_minutes,conditional_win_probability,expected_ml_improvement_vs_free_flow_percent,expected_outcome_vs_free_flow,expected_ml_regret_vs_oracle_percent
8,weekend_evening,208.17293520833303,145.2007945275512,143.71112229097778,143.71112229097778,30.965510887783687,1.0259394526183307,0.8988568912428208,9.186683085432012,8.734394621938481,7.856971726401984,220.23559509253244,155.08655987997622,153.89704112801346,153.89704112801346,0.7670031193440306,0.58,1.0,35,100,0.58,0.0,0.42,1.4896722365734325,1.301101697908834,0.58,2.1077511303017302,win,0.0
9,weekday_midday,148.56740311641514,144.26900533209917,142.02230643763303,140.99860118253414,4.405472897479042,1.5572983880316913,1.4537806083546392,7.667803787536011,9.668563028038406,8.368288961948826,157.27992902943865,154.49391498267295,151.84357706375354,151.24135096449945,1.7154966389560715,0.65,0.84,36,100,0.65,0.0,0.35,2.2466988944661335,1.7951148975096487,0.65,2.292615025021556,win,0.610594098742423
9,weekday_rush,206.59570852941224,175.48001822327936,167.43007872049526,167.43007872049526,18.957620217624772,4.587382417832566,4.545358031525023,7.615626974840107,7.68210219852862,7.668328659290778,216.37456888597217,185.12477279849372,175.85384726321263,175.85384726321263,5.007933511617267,0.94,1.0,37,100,0.94,0.0,0.06,8.049939502784152,7.853424712246635,0.94,5.236871952799957,win,0.0
9,weekend_midday,145.34531554957036,122.515850831909,122.515850831909,122.515850831909,15.70705229221874,0.0,0.0,8.99063373277316,7.950820085496015,7.950820085496015,158.75891065828225,132.4652917190151,132.4652917190151,132.4652917190151,0.0,0.0,1.0,38,100,0.0,1.0,0.0,0.0,0.0,,0.0,tie,0.0
9,weekend_evening,158.38869761461552,159.2422030140406,153.04739237663907,151.64529355533196,3.372276758643908,3.8901814469718974,3.859620673618136,9.287849871367955,8.479037673633714,8.657397362419808,170.72650595655975,169.7842166930764,165.06823725027073,162.93243148908596,2.777631239616853,0.88,0.74,39,100,0.88,0.0,0.12,6.19481063740151,6.337455809262323,0.88,3.652688967636665,win,1.1856849020520996
10,weekday_midday,160.5415475459523,112.85984892093768,112.85984892093768,112.85984892093768,29.700535066392423,0.0,1.3304363928135401e-15,6.751115067510483,8.806312726665249,8.80631272666525,169.36461180983628,124.17200514034548,124.17200514034546,124.17200514034546,1.1444491613983503e-14,0.17,1.0,40,100,0.0,1.0,0.0,1.1368683772161603e-15,0.0,,0.0,tie,0.0
10,weekday_rush,174.90125423746014,136.85966308646795,136.85966308646795,136.85966308646795,21.75032495727208,0.0,-2.028989302341027e-16,8.47626460761365,8.91093394810386,8.91093394810386,185.8878948978569,147.94163230729765,147.94163230729765,147.94163230729765,0.0,0.04,1.0,41,100,0.0,1.0,0.0,-5.684341886080802e-16,0.0,,0.0,tie,0.0
10,weekend_midday,133.17021324508912,96.533214740375,96.533214740375,96.533214740375,27.511406351273653,0.0,6.09274643755242e-16,7.763396011883788,8.620073679508923,8.620073679508923,142.56353455516506,109.60646825877642,109.60646825877642,109.60646825877642,0.0,0.1,1.0,42,100,0.0,1.0,0.0,0.0,0.0,,0.0,tie,0.0
10,weekend_evening,165.13333160020608,121.63284664599676,121.63284664599676,121.63284664599676,26.34264356727544,0.0,0.0,8.53943409412518,8.472758312813115,8.472758312813115,177.0919676200814,131.66123342734102,131.66123342734102,131.66123342734102,0.0,0.0,1.0,43,100,0.0,1.0,0.0,0.0,0.0,,0.0,tie,0.0
11,weekday_midday,143.6490414685828,102.39546883431008,101.79921097623212,102.39546883431008,29.13338652628849,0.582308831499918,0.4747479085567338,7.687714478905789,7.512358790485937,7.419288626809862,153.61699634199638,112.41822548317084,111.8966857427267,112.41822548317084,0.4639281025853015,0.56,1.0,44,100,0.56,0.0,0.44,0.5962578580779376,0.3979652871084767,0.56,-0.7879208928604955,loss,0.7879208928604955
