instance,num_customers,seed,num_vehicles,time_limit_seconds,status,feasible,distance,runtime_seconds,best_bound,mip_gap_percent,node_count,solution_count,gurobi_status
cvrp_n15_seed9,15,9,3,1.0,FEASIBLE,True,118.57573440759775,1.0093931250157766,97.14465241054576,18.073750168296485,3700.0,10,9
cvrp_n20_seed0,20,0,4,0.01,NO_SOLUTION,False,,0.031067582953255624,,,,0,9
cvrp_n20_seed0,20,0,4,0.05,FEASIBLE,True,248.45067832912218,0.07275937497615814,100.69509254748354,59.47079185910174,1.0,1,9
cvrp_n20_seed0,20,0,4,0.1,FEASIBLE,True,248.45067832912218,0.12260874995263293,106.21559505831077,57.24882066226152,1.0,1,9
cvrp_n20_seed0,20,0,4,0.5,FEASIBLE,True,166.58654795336597,0.5218687909655273,108.87132090317799,34.64579088723581,862.0,10,9
cvrp_n20_seed0,20,0,4,1.0,FEASIBLE,True,166.58654795336597,1.0237202910357155,109.07176355671363,34.525467454162595,1791.0,10,9
cvrp_n20_seed1,20,1,4,0.01,NO_SOLUTION,False,,0.0301949999993667,,,,0,9
cvrp_n20_seed1,20,1,4,0.05,FEASIBLE,True,212.30302999976368,0.0723200420034118,93.65253700801212,55.88732906538528,1.0,4,9
cvrp_n20_seed1,20,1,4,0.1,FEASIBLE,True,212.11205444072846,0.12388766597723588,107.59889000218199,49.27261900042136,1.0,6,9
cvrp_n20_seed1,20,1,4,0.5,FEASIBLE,True,195.17329824241529,0.5232904580188915,109.09083294568113,44.10565690692756,388.0,9,9
cvrp_n20_seed1,20,1,4,1.0,FEASIBLE,True,179.85910055378062,1.0250812079757452,111.17289246032684,38.188897799428034,2314.0,10,9
cvrp_n20_seed2,20,2,4,0.01,NO_SOLUTION,False,,0.036447833001147956,,,,0,9
cvrp_n20_seed2,20,2,4,0.05,FEASIBLE,True,196.30838531939844,0.07075366599019617,74.80713023529205,61.89305407734924,1.0,8,9
cvrp_n20_seed2,20,2,4,0.1,FEASIBLE,True,196.30838531939844,0.1241891669924371,88.20079040737446,55.07028889068103,1.0,8,9
cvrp_n20_seed2,20,2,4,0.5,FEASIBLE,True,167.3979039241859,0.5226048339973204,88.5474744689382,47.10359425465617,1317.0,10,9
cvrp_n20_seed2,20,2,4,1.0,FEASIBLE,True,164.16604509602772,1.0224203749676235,89.12700209002487,45.70923479463083,2358.0,10,9
cvrp_n20_seed3,20,3,4,0.01,NO_SOLUTION,False,,0.03189462498994544,,,,0,9
cvrp_n20_seed3,20,3,4,0.05,FEASIBLE,True,316.2543337383306,0.07912829203996807,126.50038320942248,60.000426962025735,1.0,2,9
cvrp_n20_seed3,20,3,4,0.1,FEASIBLE,True,219.481140450382,0.1316222919849679,134.59591329024326,38.67540827697161,1.0,7,9
cvrp_n20_seed3,20,3,4,0.5,FEASIBLE,True,206.93424550922458,0.5217844169819728,138.75959775733614,32.94507759415268,71.0,10,9
cvrp_n20_seed3,20,3,4,1.0,FEASIBLE,True,206.087000918508,1.023204417026136,139.05754979071907,32.52483214809559,1191.0,10,9
cvrp_n20_seed4,20,4,4,0.01,NO_SOLUTION,False,,0.030157458037137985,,,,0,9
cvrp_n20_seed4,20,4,4,0.05,FEASIBLE,True,195.08267975193365,0.07749616703949869,100.06653640982216,48.70557625255796,1.0,3,9
cvrp_n20_seed4,20,4,4,0.1,FEASIBLE,True,181.63586453665312,0.12087924999650568,111.38647986979201,38.67594367778901,1.0,6,9
cvrp_n20_seed4,20,4,4,0.5,FEASIBLE,True,159.61927469365688,0.5210134580265731,112.71199035583027,29.386980004671493,154.0,10,9
